trigram,frequency,probability
एंट,54,0.0013938001703533542
औरब,216,0.005575200681413417
इबर,21,0.0005420333995818599
एबह,10,0.00025811114265802856
एभी,41,0.001058255684897917
आती,40,0.0010324445706321142
एसई,7,0.00018067779986061998
अंक,25,0.0006452778566450714
एनए,47,0.0012131223704927342
आया,146,0.0037684226828072166
आईह,31,0.0008001445422398885
ईवा,24,0.0006194667423792685
ईरे,3,7.743334279740856e-05
औरत,73,0.0018842113414036083
एले,14,0.00036135559972123995
अंज,69,0.001780966884340397
आउट,42,0.0010840667991637199
उटर,3,7.743334279740856e-05
आता,37,0.0009550112278347056
एऐस,5,0.00012905557132901428
इसऐ,2,5.162222853160571e-05
ऐसी,91,0.00234881139818806
अपम,23,0.0005936556281134657
उछा,4,0.00010324445706321142
ईले,17,0.00043878894251864854
आसी,2,5.162222853160571e-05
आरत,24,0.0006194667423792685
अबश,8,0.00020648891412642284
एकप,126,0.0032522003974911596
ईथी,274,0.007072245308829982
औरर,132,0.0034070670830859766
इसव,94,0.0024262447409854684
अली,103,0.002658544769377694
ऊमे,19,0.0004904111710502542
आठन,1,2.5811114265802855e-05
ऊका,2,5.162222853160571e-05
एकइ,35,0.0009033889993030999
इंट,101,0.002606922540846088
आहत,9,0.0002323000283922257
ऊंग,6,0.00015486668559481711
एआम,4,0.00010324445706321142
आमं,11,0.0002839222569238314
अखि,64,0.0016519113130113827
एकन,90,0.0023230002839222568
अबउ,33,0.0008517667707714942
एजो,14,0.00036135559972123995
उभर,8,0.00020648891412642284
औरच,59,0.0015228557416823683
एपौ,1,2.5811114265802855e-05
एकऔ,43,0.0011098779134295228
इतन,121,0.003123144826162145
आतु,5,0.00012905557132901428
